a rồi
an toàn
anh chị
anh em
anh trai
ban hành
ban đầu
bao giờ
bao gồm
bao nhiêu
biên bản
biên chế
biên nhận
biểu quyết
buôn bán
bàn ghế
bàn giao
bán lẻ
báo cáo
bây giờ
bãi miễn
bãi nhiệm
bình thường
bôi nhọ
bù nhìn
băn khoăn
bạn bè
bản quyền
bản thân
bản vẽ
bản án
bảo hiểm
bảo vệ
bảo đảm
bất cứ
bất kể
bất kỳ
bất thường
bất đồng
bất động sản
bắt buộc
bắt đầu
bền vững
bị đơn
bố mẹ
bồi thường
bổ nhiệm
bổ sung
bộ tư lệnh
cam kết
cao lãnh
cao ốc
chi bằng
chi nhÁnh
chi nhánh
chi phí
chi tiết
chi trả
chia sẻ
chiếm dụng
chiều hướng
cho nên
cho phép
chuyên nghiệp
chuyên ngành
chuyên trách
chuyển nhượng
chuyển đổi
chuẩn bị
chào bán
chân thành
chính phủ
chính thức
chính trị
chúng em
chúng tôi
chương trình
chấm dứt
chấp nhận
chấp thuận
chế độ
chỉ đạo
chủ nợ
chủ quan
chủ sở hữu
chủ trương
chủ tịch
chỨng nhẬn
chức danh
chức năng
chức vụ
chứng cứ
chứng khoán
chứng minh
chứng nhận
chứng từ
chữ ký
con dấu
con nhỏ
con ruột
con số
cung cấp
cung ứng
cà phê
cá nhân
cá thể
cách chức
cách thức
cán bộ
cây xăng
có mặt
có thể
công an
công bố
công chức
công khai
công nghiệp
công nghệ
công nghệ cao
công nhân viên
công nhận
công nợ
công thương
công trình
công ty
công tác
công tác phí
công việc
công văn
công ích
căn cứ
căng thẳng
cơ cấu
cơ hội
cơ quan
cơ sở
cương vị
cạnh tranh
cải tạo
cảm thấy
cảm ơn
cấp giấy
cầm đồ
cần thiết
cầu xin
cố tình
cố vấn
cố ý
cống rãnh
cổ phiếu
cổ phần
cổ phần hoá
cổ tức
cổ đông
cổ động
cụ thể
cử nhân
cửa hàng
danh dự
danh nghĩa
danh sách
di chúc
diện tích
do vậy
do đó
doanh nghiệp
doanh số
doanh thu
duy nhất
duy trì
dân dụng
dân sự
dạy học
dấu hiệu
dịch thuật
dịch vụ
dự kiến
dự thầu
dự toán
dự án
dự định
elf gaz
ghi nhận
gia công
gia hạn
gia đình
giai đoạn
giao dịch
giao hợp
giao kết
giá trị
giám Đốc
giám đốc
giám đốc điều hành
giáo dục
giúp việc
giúp đỡ
giả mạo
giả sử
giải pháp
giải quyết
giải thích
giải thể
giải trình
giải đáp
giảng dạy
giảng viên
giấy chứng minh
giấy phép
giấy tờ
giầy dép
giới thiệu
gánh vác
hay là
hay xèng
hiểu biết
hiện giờ
hiện hữu
hiện nay
hiện tại
hiệu lực
hiệu quả
hoà bình
hoàn thành
hoàn toàn
hoàn trả
hoàn tất
hoá giá
hoá đơn
hoạt động
huy động
huấn luyện viên
huỷ bỏ
hà nam
hà nội
hàng hoá
hành chính
hành vi
hình phạt
hình sự
hình thức
hình ảnh
hướng dẫn
hạch toán
hạn chế
hạng mục
hải phòng
hệ thống
học phí
học sinh
hồ chí minh
hồ sơ
hồng kong
hỗ trợ
hộ kdct
hộ khẩu
hội Đồng
hội đồng
hội đồng quản trị
hợp lý
hợp lệ
hợp nhất
hợp pháp
hợp pháp hoá
hợp tác
hợp đồng
hứa hẹn
hữu hạn
khai báo
khai trừ
khoa học xã hội
khách hàng
khách sạn
khó dễ
khó khăn
không thể
không thể nào
khả năng
khấu hao
khấu trừ
khối lượng
khởi công
khởi kiện
kinh doanh
kinh nghiệm
kinh tế
kiến trúc
kiểm kê
kiểm soát
kiểm soát viên
kiểm sát
kiểm toán
kiểm toán viên
kiểm tra
kéo dài
kéo theo
kê khai
kí kết
ký gửi
ký kết
ký quỹ
ký tên
kế hoạch
kế toán
kế toán trưởng
kế toán viên
kết hợp
kết nạp
kết toán
kể cả
kỹ sư
lao động
linh kiện
liên doanh
liên hệ
liên kết
liên luỵ
liên quan
liên tục
liên đới
liệt kê
loại bỏ
loại hình
luật gia
luật pháp
luật quốc tế
luật sư
là cường
làm gì
làm sao
làm thuê
làm việc
làm vậy
làm ăn
lái xe
lãnh đạo
lí do
lòng vòng
lúc nào
lý do
lĩnh vực
lưu giữ
lưu trú
lập công ty
lật lọng
lắp đặt
lộ trình
lớn nhỏ
lớp học
lợi nhuận
lợi ích
lục đục
lừa đảo
lựa chọn
may mặc
minh bạch
minh công ty
minh gia
miễn nhiệm
mua bán
mua sắm
máy in
máy móc
máy tính
máy xúc
mâu thuẫn
mã số
mô hình
mặc dù
mặt bằng
mặt hàng
mệnh giá
mỘt sỐ
một số
một vài
mới đầu
mở cửa
mục đích
mức độ
nghiêm cấm
nghiệm thu
nghĩa vụ
nghệ thuật
nghỉ việc
nghị quyết
nghị định
ngoài ra
ngoại giao
ngoại ngữ
ngoại tệ
ngoại vụ
nguyên nhân
nguyễn thị minh khai
nguyện vọng
ngÀnh nghỀ
ngành nghề
ngày càng
ngày nay
ngân hàng
người quản lý
ngược lại
nhanh chóng
nhiệm kỳ
nhiệm vụ
nhu cầu
nhà cung cấp
nhà hàng
nhà khách
nhà máy
nhà nước
nhà riêng
nhà xưởng
nhân dân
nhân sự
nhân viên
như thế
như thế nào
như vậy
như xèng
nhất sinh
nhất trí
nhất định
nhầm lẫn
nhận định
nhỏ lẻ
niêm yết
năng lực
nước ngoài
nếu như
nền tảng
nội bộ
nội dung
nội ngoại
nội quy
nội thất
phá bỏ
phá sản
pháp luật
pháp lý
pháp nhân
phát hiện
phát hành
phát sinh
phát triển
phân bổ
phân chia
phân công
phân loại
phân quyền
phê duyệt
phù hợp
phương thức
phương án
phạm luật
phạm vi
phải chi
phản hồi
phần lớn
phần mềm
phổ thông
phụ thuộc
phụ trách
phức tạp
quan hệ
quan điểm
quen biết
qui chế
qui định
quy chế
quy định
quyết nghị
quyết toán
quyết định
quyền hạn
quyền lợi
quyền sở hữu
quá trình
quân khu
quân đội
quản lý
quản lý nhà nước
quảng nam
quốc phòng
quốc tế
quốc tịch
riêng lẻ
ruột thịt
ràng buộc
rõ ràng
rút lui
rút tiền
rắc rối
rủi ro
sang nhượng
sang tên
sau này
sáng lập
sáp nhập
sơ cấp
sư phạm
sản phẩm
sản xuất
sắp xếp
số lượng
số ít
sổ sách
sổ đỏ
sớm muộn
sở hữu
sử dụng
sửa chữa
sự việc
tham dự
tham gia
tham khảo
thanh lý
thanh toán
thay mặt
thay thế
thay vì
thay đổi
thi công
thi hành
thiết bị
thiết kế
thiệt hại
thiệt thòi
thoả thuận
thu chi
thu hồi
thua lỗ
thuê mua
thuận lợi
thuế môn bài
thuế thu nhập
thành lập
thành phẩm
thành phố
thành viên
thông báo
thông minh
thông qua
thông thường
thông tin
thông tư
thù lao
thư viện
thương gia
thương mại
thường niên
thường trú
thường xuyên
thạc sỹ
thất lạc
thất nghiệp
thẩm quyền
thật sự
thắc mắc
thế chấp
thế nào
thế này
thế thì
thể thức
thống nhất
thời gian
thời hạn
thời điểm
thụ lý
thỦ tỤc
thủ thuật
thủ tục
thực chất
thực hiện
thực thi
thực trạng
thực tế
tin học
tin tưởng
tiêu chuẩn
tiêu chí
tiến hành
tiếp nhận
tiếp tục
tiền lương
tiền mặt
toà án
toàn bộ
trang bị
trang phục
trang thiết bị
trang trí
trang trại
trang web
tranh chấp
tranh thủ
trao trả
trao đổi
triển khai
triệu tập
trung quốc
trung tâm
truy cứu
truyền thông
truyền thống
trà vinh
trách nhiệm
trái phiếu
trái phép
trình tự
trích lục
trò chơi
trúng thầu
trước hết
trước đây
trường hợp
trạng thái
trả lời
trẻ em
trộm cắp
trở lại
trở nên
trở thành
trợ cấp
trụ sở
trực thuộc
trực tiếp
trực tuyến
tuy nhiên
tuyển sinh
tuần tra
tài chính
tài khoản
tài liệu
tài nguyên
tài sản
tài sản cố định
tìm hiểu
tình huống
tình hình
tình trạng
tính toán
tóm tắt
tư cách
tư cách pháp nhân
tư nhân
tư vấn
tương lai
tương đương
tương ứng
tại ngoại
tại sao
tạm ứng
tất cả
tập thể
tập trung
tập đoàn
tỉ lệ
tịch thu
tố cáo
tối thiểu
tốn kém
tồn kho
tồn tại
tổ chức
tổng công ty
tổng giám đốc
tổng gĐ
tổng số
tổng tài
tội phạm
tức là
từ chối
từ chức
từ ngữ
tự quyết
tỷ lệ
uỷ nhiệm
uỷ quyền
vai trò
vi phạm
viên chức
viễn thông
việc làm
việt kiều
việt nam
vào cuộc
vì vậy
ví dụ
vô hạn
văn bản
văn phòng
văn phòng phẩm
văng tục
vướng mắc
vạn tường
vấn đề
vận chuyển
vận hành
vận tải
vật chất
vật liệu
vật tư
vậy thì
vệ sinh
vị trí
vốn pháp định
vốn tự có
vốn điều lệ
vợ chồng
vừa qua
vừa rồi
xuất cảnh
xuất khẩu
xuất nhập khẩu
xác minh
xác nhận
xác định
xây dựng
xã hội
xí nghiệp
xăng dầu
xử lý
xử phạt
yêu cầu
Áp dụng
Ô tô
án phí
áp dụng
âm thanh
ít nhất
ô tô
ông bà
ý kiến
ý nghĩa
ý định
ăn thua
ĐiỀu kiỆn
Điều hành
Điều kiện
Điều lệ
Đà nẵng
Đài loan
Đào tạo
Đăng ký
Đại học
Đại hội đồng
Đại lý
Đại phát
Đảng viên
Đầu tư
Đặc biệt
Địa điểm
Định giá
ĐỐi vỚi
Đối tượng
Đồng tháp
Đồng thời
đa số
điều chỉnh
điều hành
điều khoản
điều kiện
điều lệ
điều tra
điều tra viên
điện thoại
điện tử
đoàn tụ
đào tạo
đáo hạn
đóng góp
đăng kí
đăng ký
đơn vị
đường lối
đại diện
đại học
đại hội
đại hội đồng
đại lý
đảm bảo
đảm nhận
đất sét
đấu giá
đấu thầu
đầu tư
đầy đủ
đặc biệt
đề bạt
đề cử
đề nghị
địa bàn
địa chỉ
địa giới
địa phương
địa điểm
định cư
định giá
định kỳ
định đoạt
đối mặt
đối tác
đối tượng
đối với
đồ dùng
đồ đạc
đồng thời
đồng ý
độc lập
đột xuất
đứng tên
ưu tiên
ưu đãi
ảnh hưởng
ổn định
